,index,lead_ticker,lag_ticker,n,cc,p,lead_to_lag,validation,path
0,1,AGG,AGND,90,-0.259923,0.0430753,-1,,
1,112,AGG,MINT,90,-0.373156,0.00305703,-1,,
2,137,AGG,SLV,90,-0.269017,0.0360432,-1,,
3,234,AGND,FLM,90,-0.258577,0.0442057,-1,,
4,634,BAL,JO,90,-0.312941,0.0140648,-1,,
5,646,BAL,MINT,90,-0.297016,0.0200984,-1,,
6,648,BAL,NIB,90,-0.260962,0.0422188,-1,,
7,960,BJK,GRID,90,-0.340542,0.00724264,-1,invalid,BJK>VNM>GRID
8,1029,BJK,SMH,90,-0.307401,0.0159578,-1,,
9,1048,BJK,VNM,90,-0.290158,0.0233069,-1,invalid,BJK>SMH>SKYY>VNM
10,1075,BKLN,BNO,90,-0.310416,0.0149023,-1,,
11,1087,BKLN,DBC,90,-0.277261,0.0305191,-1,,
12,1088,BKLN,DBE,90,-0.288826,0.0239778,-1,,
13,1166,BKLN,JJT,90,-0.261999,0.0413774,-1,,
14,1220,BKLN,UHN,90,-0.283261,0.0269605,-1,,
15,1223,BKLN,USO,90,-0.321427,0.0115398,-1,,
16,1224,BKLN,UUP,90,-0.254749,0.0475566,-1,,
17,1264,BNO,DBB,90,-0.321814,0.0114349,-1,,
18,1321,BNO,IAI,90,-0.270778,0.0347984,-1,,
19,1335,BNO,IYG,90,-0.289429,0.0236721,-1,,
20,1347,BNO,KBE,90,-0.280863,0.0283384,-1,,
21,1350,BNO,KRE,90,-0.263385,0.0402753,-1,,
22,1374,BNO,QABA,90,-0.297168,0.0200321,-1,,
23,1379,BNO,SGG,90,-0.298978,0.0192528,-1,invalid,BNO>UGA>SGG
24,1397,BNO,UGA,90,-0.267092,0.0374459,-1,,
25,1410,BNO,WOOD,90,-0.291026,0.0228784,-1,,
26,1412,BNO,XLF,90,-0.325947,0.0103628,-1,,
27,1490,BSV,GDX,90,-0.28887,0.0239557,-1,,
28,1533,BSV,LQD,90,-0.258733,0.0440736,-1,,
29,1536,BSV,MINT,90,-0.29818,0.0195933,-1,invalid,BSV>LQD>MINT
30,1559,BSV,SIL,90,-0.253646,0.0485592,-1,,
31,1561,BSV,SLV,90,-0.264794,0.0391802,-1,invalid,BSV>LQD>SLV
32,1603,BWX,AGND,90,-0.312507,0.0142057,-1,invalid,BWX>GDX>AGND
33,1623,BWX,ECH,90,-0.2945,0.0212289,-1,,
34,1637,BWX,EWD,90,-0.261144,0.0420697,-1,invalid,BWX>ECH>EWD
35,1668,BWX,GDX,90,-0.2649,0.0390983,-1,,
36,1679,BWX,ICLN,90,-0.260738,0.0424017,-1,invalid,BWX>GDX>ICLN
37,1697,BWX,JJG,90,-0.266928,0.0375676,-1,,
38,1746,BWX,TAN,90,-0.275114,0.0318844,-1,invalid,BWX>GDX>TAN
39,1765,BWX,WEAT,90,-0.261334,0.0419151,-1,,
40,1959,CEW,AGND,90,-0.279174,0.0293441,-1,invalid,CEW>EWZ>AGND
41,2010,CEW,EWZ,90,-0.29353,0.0216792,-1,,
42,2012,CEW,FAN,90,-0.349832,0.00571561,-1,invalid,CEW>EWZ>FAN
43,2013,CEW,FDN,90,-0.280605,0.0284901,-1,,
44,2033,CEW,IAI,90,-0.259588,0.0433541,-1,,
45,2035,CEW,ICLN,90,-0.414177,0.000905746,-1,,
46,2079,CEW,PEJ,90,-0.317275,0.0127216,-1,invalid,CEW>WEAT>EWA>CIBR>EWG>PEJ
47,2086,CEW,QABA,90,-0.315128,0.0133723,-1,,
48,2094,CEW,SKYY,90,-0.267299,0.0372933,-1,invalid,CEW>SMH>SKYY
49,2097,CEW,SMH,90,-0.315559,0.0132395,-1,,
50,2121,CEW,WEAT,90,-0.260621,0.0424977,-1,,
51,2126,CEW,XLK,90,-0.280091,0.0287944,-1,,
52,2130,CEW,XLY,90,-0.29382,0.0215437,-1,,
53,2172,CIBR,EWG,90,-0.256367,0.0461152,-1,invalid,CIBR>SMH>SKYY>EWG
54,2255,CIBR,PBJ,90,-0.262706,0.0408126,-1,,
55,2275,CIBR,SMH,90,-0.292509,0.0221615,-1,invalid,CIBR>PBJ>EWJ>SMH
56,2296,CIBR,VNQI,90,-0.278888,0.0295171,-1,,
57,2305,CIBR,XLP,90,-0.264994,0.0390266,-1,invalid,CIBR>PBJ>XLP
58,2312,CIBR,YCS,90,-0.30098,0.0184213,-1,,
59,2331,CORN,DBA,90,-0.291265,0.0227615,-1,,
60,2409,CORN,JJG,90,-0.27899,0.0294553,-1,,
