,ticker,name_en,category,sub_category,name_cn
0,1,CKH HOLDINGS,Equity,Equity Securities (Main Board),長和
1,2,CLP HOLDINGS,Equity,Equity Securities (Main Board),中電控股
2,3,HK & CHINA GAS,Equity,Equity Securities (Main Board),香港中華煤氣
3,4,WHARF HOLDINGS,Equity,Equity Securities (Main Board),九龍倉集團
4,5,HSBC HOLDINGS,Equity,Equity Securities (Main Board),匯豐控股
5,6,POWER ASSETS,Equity,Equity Securities (Main Board),電能實業
6,7,HOIFU ENERGY,Equity,Equity Securities (Main Board),凱富能源
7,8,PCCW,Equity,Equity Securities (Main Board),電訊盈科
8,9,NINE EXPRESS,Equity,Equity Securities (Main Board),九號運通
9,10,HANG LUNG GROUP,Equity,Equity Securities (Main Board),恒隆集團
10,11,HANG SENG BANK,Equity,Equity Securities (Main Board),恒生銀行
11,12,HENDERSON LAND,Equity,Equity Securities (Main Board),恒基地產
12,14,HYSAN DEV,Equity,Equity Securities (Main Board),希慎興業
13,15,VANTAGE INT'L,Equity,Equity Securities (Main Board),盈信控股
14,16,SHK PPT,Equity,Equity Securities (Main Board),新鴻基地產
15,17,NEW WORLD DEV,Equity,Equity Securities (Main Board),新世界發展
16,18,ORIENTAL PRESS,Equity,Equity Securities (Main Board),東方報業集團
17,19,SWIRE PACIFIC A,Equity,Equity Securities (Main Board),太古股份公司Ａ
18,20,WHEELOCK,Equity,Equity Securities (Main Board),會德豐
19,21,GREAT CHI PPT,Equity,Equity Securities (Main Board),大中華地產控股
20,22,MEXAN,Equity,Equity Securities (Main Board),茂盛控股
21,23,BANK OF E ASIA,Equity,Equity Securities (Main Board),東亞銀行
22,24,BURWILL,Equity,Equity Securities (Main Board),寶威控股
23,25,CHEVALIER INT'L,Equity,Equity Securities (Main Board),CHEVALIER INT'L
24,26,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),中華汽車
25,27,GALAXY ENT,Equity,Equity Securities (Main Board),銀河娛樂
26,28,TIAN AN,Equity,Equity Securities (Main Board),天安
